地点,当地时间,温度,气压,湿度,风向,风速
北京,2023-12-26 08:00:00,-1.2,772.7,47,从东北偏北方向吹来的风,3
北京,2023-12-26 05:00:00,-4.7,770.9,65,从东北偏东方向吹来的风,2
北京,2023-12-26 02:00:00,-6.8,769.9,79,从东北方吹来的风,1
北京,2023-12-25 23:00:00,-6.2,769.8,72,从东北偏北方向吹来的风,1
北京,2023-12-25 20:00:00,-3.8,769.7,58,从西南方吹来的风,1
北京,2023-12-25 17:00:00,-0.8,769.5,46,从西南偏南方向吹来的风,2
北京,2023-12-25 14:00:00,0.6,770.3,37,从西南偏南方向吹来的风,2
北京,2023-12-25 11:00:00,0.1,773.1,36,从南方吹来的风,1
北京,2023-12-25 08:00:00,-10.8,773.9,81,从东北方吹来的风,1
北京,2023-12-25 05:00:00,-10.9,773.4,75,从西北方吹来的风,1
北京,2023-12-25 02:00:00,-10.1,773.9,72,从西南偏西方向吹来的风,1
北京,2023-12-24 23:00:00,-7.9,774.1,64,从西南偏南方向吹来的风,1
北京,2023-12-24 20:00:00,-6.8,774.0,56,从西北方吹来的风,1
北京,2023-12-24 17:00:00,-2.6,773.5,36,从南方吹来的风,2
北京,2023-12-24 14:00:00,-0.9,773.8,32,从西南方吹来的风,2
北京,2023-12-24 11:00:00,-2.4,776.3,37,从南方吹来的风,1
北京,2023-12-24 08:00:00,-12.1,776.9,79,从西方吹来的风,1
北京,2023-12-24 05:00:00,-11.6,776.7,67,从西南偏西方向吹来的风,1
北京,2023-12-24 02:00:00,-7.5,777.4,44,从西方吹来的风,1
北京,2023-12-23 23:00:00,-5.4,778.2,38,从北方吹来的风,2
北京,2023-12-23 20:00:00,-4.5,778.6,38,从北方吹来的风,1
北京,2023-12-23 17:00:00,-2.3,777.6,31,从西北偏北方向吹来的风,2
北京,2023-12-23 14:00:00,-0.8,777.1,26,从北方吹来的风,3
北京,2023-12-23 11:00:00,-3.2,778.7,29,从西北偏北方向吹来的风,3
北京,2023-12-23 08:00:00,-7.0,778.3,36,从西北偏北方向吹来的风,2
北京,2023-12-23 05:00:00,-9.9,777.7,57,从北方吹来的风,2
北京,2023-12-23 02:00:00,-12.6,778.6,74,从西方吹来的风,1
北京,2023-12-22 23:00:00,-11.9,779.5,68,从西南偏南方向吹来的风,1
北京,2023-12-22 20:00:00,-8.2,780.1,47,从西南偏西方向吹来的风,1
北京,2023-12-22 17:00:00,-5.8,779.5,36,从西南方吹来的风,2
北京,2023-12-22 14:00:00,-3.6,779.8,28,从南方吹来的风,2
北京,2023-12-22 11:00:00,-5.0,782.2,28,从西方吹来的风,2
北京,2023-12-22 08:00:00,-12.7,781.9,58,从东南偏东方向吹来的风,1
北京,2023-12-22 05:00:00,-12.6,781.3,50,从东北偏东方向吹来的风,1
北京,2023-12-22 02:00:00,-11.6,782.2,58,从西北方吹来的风,1
北京,2023-12-21 23:00:00,-12.2,782.1,53,从西南方吹来的风,2
北京,2023-12-21 20:00:00,-11.2,781.4,45,从西南偏南方向吹来的风,1
北京,2023-12-21 17:00:00,-8.0,781.0,31,从西南偏西方向吹来的风,2
北京,2023-12-21 14:00:00,-6.5,781.0,23,从西方吹来的风,3
北京,2023-12-21 11:00:00,-10.0,783.1,26,从西北偏北方向吹来的风,3
北京,2023-12-21 08:00:00,-13.8,782.8,32,从北方吹来的风,3
北京,2023-12-21 05:00:00,-13.7,782.1,29,从北方吹来的风,3
北京,2023-12-21 02:00:00,-12.9,781.6,27,从北方吹来的风,5
北京,2023-12-20 23:00:00,-12.2,781.2,26,从北方吹来的风,4
北京,2023-12-20 20:00:00,-11.4,780.6,25,从西北偏北方向吹来的风,4
北京,2023-12-20 17:00:00,-9.6,779.2,25,从西北方吹来的风,4
北京,2023-12-20 14:00:00,-8.1,778.6,24,从西北偏北方向吹来的风,4
北京,2023-12-20 11:00:00,-8.5,780.2,24,从西方吹来的风,5
北京,2023-12-20 08:00:00,-11.9,781.1,31,从北方吹来的风,2
北京,2023-12-20 05:00:00,-11.9,781.0,33,从北方吹来的风,3
北京,2023-12-20 02:00:00,-12.0,781.6,34,从东北方吹来的风,2
北京,2023-12-19 23:00:00,-10.8,782.0,29,从东北偏北方向吹来的风,4
北京,2023-12-19 20:00:00,-9.1,781.4,28,从北方吹来的风,4
北京,2023-12-19 17:00:00,-7.6,779.7,27,从西北偏北方向吹来的风,5
北京,2023-12-19 14:00:00,-6.5,778.4,28,从北方吹来的风,4
北京,2023-12-19 11:00:00,-7.8,779.0,28,从北方吹来的风,4
北京,2023-12-19 08:00:00,-7.9,777.1,28,从西北偏北方向吹来的风,6
北京,2023-12-19 05:00:00,-11.4,774.9,73,从东北方吹来的风,2
北京,2023-12-19 02:00:00,-10.8,774.4,76,从东北方吹来的风,2
北京,2023-12-18 23:00:00,-12.8,774.9,79,从东方吹来的风,0
北京,2023-12-18 20:00:00,-11.0,774.4,72,从北方吹来的风,0
北京,2023-12-18 17:00:00,-7.1,774.1,49,从西南方吹来的风,1
北京,2023-12-18 14:00:00,-6.0,774.4,47,从东北偏东方向吹来的风,2
北京,2023-12-18 11:00:00,-8.6,777.1,53,从东北方吹来的风,2
北京,2023-12-18 08:00:00,-12.6,777.5,74,从东北偏东方向吹来的风,1
北京,2023-12-18 05:00:00,-12.7,777.1,72,从东方吹来的风,1
北京,2023-12-18 02:00:00,-14.9,777.9,76,从西南偏西方向吹来的风,1
北京,2023-12-17 23:00:00,-13.3,778.1,63,从西南偏西方向吹来的风,1
北京,2023-12-17 20:00:00,-10.3,778.3,48,从西南偏南方向吹来的风,1
北京,2023-12-17 17:00:00,-8.0,777.4,36,从西南偏南方向吹来的风,2
北京,2023-12-17 14:00:00,-6.4,777.7,30,从西南偏南方向吹来的风,3
北京,2023-12-17 11:00:00,-8.3,779.8,32,从西南偏西方向吹来的风,3
北京,2023-12-17 08:00:00,-15.1,780.1,68,从西南偏南方向吹来的风,1
北京,2023-12-17 05:00:00,-12.8,780.1,51,从东南偏东方向吹来的风,0
北京,2023-12-17 02:00:00,-8.8,780.4,28,从西北方吹来的风,3
北京,2023-12-16 23:00:00,-12.5,780.4,36,从东北方吹来的风,1
北京,2023-12-16 20:00:00,-8.7,779.9,27,从西北偏北方向吹来的风,4
北京,2023-12-16 17:00:00,-8.2,779.2,28,从西北偏西方向吹来的风,3
北京,2023-12-16 14:00:00,-7.9,778.3,25,从西北方吹来的风,5
北京,2023-12-16 11:00:00,-9.7,779.2,27,从西北偏北方向吹来的风,5
北京,2023-12-16 08:00:00,-12.0,778.9,31,从西北偏北方向吹来的风,3
北京,2023-12-16 05:00:00,-11.2,777.3,28,从北方吹来的风,4
北京,2023-12-16 02:00:00,-10.2,777.0,31,从西北方吹来的风,4
北京,2023-12-15 23:00:00,-8.6,777.6,30,从西北方吹来的风,4
北京,2023-12-15 20:00:00,-7.4,777.0,34,从西北偏北方向吹来的风,3
北京,2023-12-15 17:00:00,-6.5,776.0,35,从西北偏北方向吹来的风,5
北京,2023-12-15 14:00:00,-5.8,775.0,36,从西北偏北方向吹来的风,5
北京,2023-12-15 11:00:00,-5.5,774.9,41,从西北偏北方向吹来的风,6
北京,2023-12-15 08:00:00,-6.0,774.3,55,从东北偏北方向吹来的风,4
北京,2023-12-15 05:00:00,-5.9,772.4,60,从东北方吹来的风,3
北京,2023-12-15 02:00:00,-5.0,771.4,64,从东北偏北方向吹来的风,3
北京,2023-12-14 23:00:00,-5.2,772.0,80,从东北偏北方向吹来的风,2
北京,2023-12-14 20:00:00,-5.1,771.7,86,从东北偏北方向吹来的风,3
北京,2023-12-14 17:00:00,-4.6,771.3,84,从东北偏北方向吹来的风,3
北京,2023-12-14 14:00:00,-4.2,771.7,84,从东方吹来的风,1
北京,2023-12-14 11:00:00,-4.7,773.8,88,从东方吹来的风,2
北京,2023-12-14 08:00:00,-4.8,773.6,88,从东北偏东方向吹来的风,3
北京,2023-12-14 05:00:00,-3.6,773.5,86,从东北偏东方向吹来的风,2
北京,2023-12-14 02:00:00,-3.2,774.4,93,从西南方吹来的风,0
北京,2023-12-13 23:00:00,-2.6,774.4,95,从西南方吹来的风,1
北京,2023-12-13 20:00:00,-2.0,773.3,88,从东方吹来的风,1
北京,2023-12-13 17:00:00,-2.3,772.7,87,从东方吹来的风,3
北京,2023-12-13 14:00:00,-1.7,772.3,87,从东北偏东方向吹来的风,2
北京,2023-12-13 11:00:00,-2.1,773.4,80,从东北偏东方向吹来的风,2
北京,2023-12-13 08:00:00,-2.4,772.6,77,从东北偏东方向吹来的风,2
北京,2023-12-13 05:00:00,-2.2,771.7,78,从东方吹来的风,2
北京,2023-12-13 02:00:00,-2.1,772.1,78,从东南偏南方向吹来的风,1
北京,2023-12-12 23:00:00,-2.2,772.3,78,从西南偏南方向吹来的风,1
北京,2023-12-12 20:00:00,-2.2,772.0,76,从西南偏南方向吹来的风,2
北京,2023-12-12 17:00:00,-2.3,771.3,80,从西南偏南方向吹来的风,2
北京,2023-12-12 14:00:00,-2.7,771.3,83,从西南偏南方向吹来的风,2
北京,2023-12-12 11:00:00,-3.7,773.3,91,从西南偏南方向吹来的风,2
北京,2023-12-12 08:00:00,-4.8,773.0,96,从西南偏南方向吹来的风,1
北京,2023-12-12 05:00:00,-8.3,772.8,94,从西南偏南方向吹来的风,0
北京,2023-12-12 02:00:00,-6.8,773.1,95,从西南偏南方向吹来的风,1
北京,2023-12-11 23:00:00,-4.4,773.6,92,从西南偏南方向吹来的风,1
北京,2023-12-11 20:00:00,-3.6,773.3,89,从西南方吹来的风,1
北京,2023-12-11 17:00:00,-2.9,772.6,83,从西南偏南方向吹来的风,1
北京,2023-12-11 14:00:00,-2.6,772.9,78,从西南偏南方向吹来的风,2
北京,2023-12-11 11:00:00,-2.9,774.3,81,从东南偏南方向吹来的风,1
北京,2023-12-11 08:00:00,-2.9,774.8,90,从东北偏东方向吹来的风,2
北京,2023-12-11 05:00:00,-2.6,774.6,94,从东北偏东方向吹来的风,1
北京,2023-12-11 02:00:00,-2.8,776.0,93,从西南偏南方向吹来的风,1
北京,2023-12-10 23:00:00,0.3,776.0,41,从北方吹来的风,1
北京,2023-12-10 20:00:00,-0.1,776.1,38,从西方吹来的风,1
北京,2023-12-10 17:00:00,0.1,775.9,36,从东方吹来的风,2
北京,2023-12-10 14:00:00,0.5,776.0,32,从东南方吹来的风,2
北京,2023-12-10 11:00:00,-0.1,777.5,36,从东南方吹来的风,2
北京,2023-12-10 08:00:00,-2.6,776.2,55,从东北方吹来的风,2
北京,2023-12-10 05:00:00,-3.1,775.2,57,从西南方吹来的风,1
北京,2023-12-10 02:00:00,-0.5,774.4,48,从东南偏东方向吹来的风,1
北京,2023-12-09 23:00:00,0.7,773.4,44,从东南方吹来的风,3
北京,2023-12-09 20:00:00,4.1,771.0,35,从东南偏南方向吹来的风,2
北京,2023-12-09 17:00:00,6.0,768.7,34,从东南偏东方向吹来的风,2
北京,2023-12-09 14:00:00,8.1,767.7,33,从东南偏东方向吹来的风,1
北京,2023-12-09 11:00:00,5.1,768.5,41,从东方吹来的风,2
北京,2023-12-09 08:00:00,2.7,766.8,70,从南方吹来的风,2
北京,2023-12-09 05:00:00,-0.2,764.2,73,从东北偏东方向吹来的风,1
北京,2023-12-09 02:00:00,1.5,761.8,66,从东北方吹来的风,1
北京,2023-12-08 23:00:00,1.9,760.2,64,从东北偏北方向吹来的风,1
北京,2023-12-08 20:00:00,4.3,757.6,56,从东北偏北方向吹来的风,1
北京,2023-12-08 17:00:00,8.3,754.6,39,从西南偏南方向吹来的风,1
北京,2023-12-08 14:00:00,11.6,753.4,30,从南方吹来的风,2
北京,2023-12-08 11:00:00,6.9,754.3,46,从东北方吹来的风,1
北京,2023-12-08 08:00:00,1.2,753.9,67,从西南偏西方向吹来的风,1
北京,2023-12-08 05:00:00,0.0,753.0,66,从西北方吹来的风,1
北京,2023-12-08 02:00:00,-0.8,753.5,67,从北方吹来的风,1
北京,2023-12-07 23:00:00,0.8,753.6,63,从东北偏东方向吹来的风,1
北京,2023-12-07 20:00:00,1.9,754.0,55,从东北偏东方向吹来的风,1
北京,2023-12-07 17:00:00,6.4,753.2,37,从北方吹来的风,1
北京,2023-12-07 14:00:00,8.6,753.1,31,从东北方吹来的风,2
北京,2023-12-07 11:00:00,5.6,755.4,36,从东方吹来的风,2
北京,2023-12-07 08:00:00,-0.2,756.2,58,从东北方吹来的风,2
北京,2023-12-07 05:00:00,-2.5,756.4,64,从东方吹来的风,1
北京,2023-12-07 02:00:00,-1.3,757.3,57,从北方吹来的风,0
北京,2023-12-06 23:00:00,2.8,758.2,40,从东方吹来的风,1
北京,2023-12-06 20:00:00,6.1,759.0,29,从南方吹来的风,2
北京,2023-12-06 17:00:00,8.1,759.0,23,从南方吹来的风,1
北京,2023-12-06 14:00:00,10.9,759.2,16,从西南方吹来的风,3
北京,2023-12-06 11:00:00,10.3,761.9,18,从西北偏西方向吹来的风,3
北京,2023-12-06 08:00:00,2.8,763.1,22,从东北偏东方向吹来的风,2
北京,2023-12-06 05:00:00,6.7,762.7,13,从西北方吹来的风,3
北京,2023-12-06 02:00:00,8.9,762.1,16,从西北偏北方向吹来的风,6
北京,2023-12-05 23:00:00,3.9,761.3,50,从西北方吹来的风,2
北京,2023-12-05 20:00:00,1.7,760.6,57,从北方吹来的风,0
北京,2023-12-05 17:00:00,5.6,759.0,41,从西南偏西方向吹来的风,1
北京,2023-12-05 14:00:00,8.9,758.6,31,从西北方吹来的风,1
北京,2023-12-05 11:00:00,4.7,760.6,42,从东北偏东方向吹来的风,2
北京,2023-12-05 08:00:00,-3.7,761.2,78,从东方吹来的风,1
北京,2023-12-05 05:00:00,-3.9,760.7,78,从东北方吹来的风,1
北京,2023-12-05 02:00:00,-3.7,761.8,72,从西北偏西方向吹来的风,1
北京,2023-12-04 23:00:00,-1.6,762.4,62,从东北方吹来的风,1
北京,2023-12-04 20:00:00,0.2,762.2,54,从西北方吹来的风,0
北京,2023-12-04 17:00:00,5.4,761.5,33,从西北偏西方向吹来的风,1
北京,2023-12-04 14:00:00,8.9,761.0,24,从东北方吹来的风,1
北京,2023-12-04 11:00:00,7.2,762.4,30,从北方吹来的风,1
北京,2023-12-04 08:00:00,-3.3,762.8,64,从东北偏东方向吹来的风,1
北京,2023-12-04 05:00:00,-3.1,762.4,65,从东北偏东方向吹来的风,1
北京,2023-12-04 02:00:00,-2.9,763.6,67,从东北方吹来的风,1
北京,2023-12-03 23:00:00,-2.6,765.0,61,从东北偏东方向吹来的风,1
北京,2023-12-03 20:00:00,-0.4,766.0,51,从东北方吹来的风,1
北京,2023-12-03 17:00:00,6.0,766.0,30,从西南偏西方向吹来的风,1
北京,2023-12-03 14:00:00,9.1,766.7,22,从西南偏南方向吹来的风,3
北京,2023-12-03 11:00:00,6.5,769.7,25,从东南偏南方向吹来的风,1
北京,2023-12-03 08:00:00,-4.8,770.5,65,从东北方吹来的风,1
北京,2023-12-03 05:00:00,-5.5,770.5,70,从东北方吹来的风,1
北京,2023-12-03 02:00:00,-4.0,771.5,62,无风,0
北京,2023-12-02 23:00:00,-1.9,771.7,53,从北方吹来的风,0
北京,2023-12-02 20:00:00,-0.1,771.1,41,从西北方吹来的风,1
北京,2023-12-02 17:00:00,7.9,769.8,18,从西方吹来的风,2
北京,2023-12-02 14:00:00,9.9,769.3,15,从西北偏北方向吹来的风,2
北京,2023-12-02 11:00:00,7.0,770.3,19,从北方吹来的风,3
北京,2023-12-02 08:00:00,-3.7,769.8,57,从东北方吹来的风,2
北京,2023-12-02 05:00:00,-5.8,768.3,64,从东北偏东方向吹来的风,1
北京,2023-12-02 02:00:00,-5.0,768.6,57,从西南方吹来的风,1
北京,2023-12-01 23:00:00,-3.7,769.4,50,从西南方吹来的风,1
北京,2023-12-01 20:00:00,-1.7,770.1,44,从西南方吹来的风,2
北京,2023-12-01 17:00:00,1.4,770.5,30,从西南方吹来的风,2
北京,2023-12-01 14:00:00,3.3,771.5,24,从西南偏南方向吹来的风,4
北京,2023-12-01 11:00:00,0.5,774.1,25,从西北方吹来的风,1
北京,2023-12-01 08:00:00,-4.9,774.6,40,从东北偏东方向吹来的风,1
北京,2023-12-01 05:00:00,-5.3,774.7,40,从东北偏东方向吹来的风,2
北京,2023-12-01 02:00:00,-3.9,774.7,34,从东北方吹来的风,2
北京,2023-11-30 23:00:00,-2.9,775.2,30,从东北偏北方向吹来的风,2
北京,2023-11-30 20:00:00,-0.5,775.4,25,从东北方吹来的风,2
北京,2023-11-30 17:00:00,2.1,774.4,20,从西北偏北方向吹来的风,4
北京,2023-11-30 14:00:00,2.9,774.4,19,从北方吹来的风,3
北京,2023-11-30 11:00:00,-1.0,777.3,24,从东北方吹来的风,2
北京,2023-11-30 08:00:00,-5.2,778.0,33,从东北方吹来的风,3
北京,2023-11-30 05:00:00,-4.8,777.6,28,从东北方吹来的风,2
北京,2023-11-30 02:00:00,-4.2,778.1,29,从东北方吹来的风,2
北京,2023-11-29 23:00:00,-1.8,778.2,25,从北方吹来的风,2
北京,2023-11-29 20:00:00,-0.5,777.1,23,从北方吹来的风,3
北京,2023-11-29 17:00:00,0.8,775.9,18,从西北方吹来的风,5
北京,2023-11-29 14:00:00,1.3,775.5,16,从西北偏北方向吹来的风,5
北京,2023-11-29 11:00:00,-0.8,776.5,21,从北方吹来的风,4
北京,2023-11-29 08:00:00,-3.4,775.9,29,从西北偏北方向吹来的风,3
北京,2023-11-29 05:00:00,-4.1,774.3,28,从北方吹来的风,2
北京,2023-11-29 02:00:00,-2.4,772.9,25,从北方吹来的风,4
北京,2023-11-28 23:00:00,1.4,770.4,30,从北方吹来的风,3
北京,2023-11-28 20:00:00,-0.3,767.9,35,从西南方吹来的风,2
北京,2023-11-28 17:00:00,2.1,766.6,28,从南方吹来的风,1
北京,2023-11-28 14:00:00,2.9,766.7,23,从西南方吹来的风,4
北京,2023-11-28 11:00:00,1.4,769.3,23,从西南偏南方向吹来的风,3
北京,2023-11-28 08:00:00,-2.8,769.7,33,从西北方吹来的风,1
北京,2023-11-28 05:00:00,-2.6,768.9,32,从东方吹来的风,2
北京,2023-11-28 02:00:00,-0.4,769.9,25,从北方吹来的风,2
北京,2023-11-27 23:00:00,1.3,770.2,19,从西北偏北方向吹来的风,4
北京,2023-11-27 20:00:00,5.0,767.8,20,从西北方吹来的风,6
北京,2023-11-27 17:00:00,7.2,765.7,27,从北方吹来的风,4
北京,2023-11-27 14:00:00,9.9,763.4,22,从西北偏西方向吹来的风,5
北京,2023-11-27 11:00:00,6.4,764.1,32,从东北方吹来的风,1
北京,2023-11-27 08:00:00,-3.5,763.9,74,从东北偏东方向吹来的风,1
北京,2023-11-27 05:00:00,-5.7,763.0,75,从东南方吹来的风,0
北京,2023-11-27 02:00:00,-4.6,763.0,72,从东北偏东方向吹来的风,1
北京,2023-11-26 23:00:00,-3.7,763.7,64,从南方吹来的风,0
北京,2023-11-26 20:00:00,-2.9,764.3,57,从东方吹来的风,0
北京,2023-11-26 17:00:00,1.0,764.5,38,无风,0
北京,2023-11-26 14:00:00,1.8,765.6,34,从东北方吹来的风,2
北京,2023-11-26 11:00:00,1.4,768.4,35,从东方吹来的风,2
北京,2023-11-26 08:00:00,-5.5,769.5,71,从西方吹来的风,0
北京,2023-11-26 05:00:00,-6.6,770.2,75,从东北方吹来的风,1
北京,2023-11-26 02:00:00,-5.8,770.8,69,从东北方吹来的风,1
北京,2023-11-25 23:00:00,-4.6,771.5,62,从东北偏北方向吹来的风,1
北京,2023-11-25 20:00:00,-2.7,771.7,52,从东方吹来的风,1
北京,2023-11-25 17:00:00,0.0,771.4,35,从东南偏南方向吹来的风,2
北京,2023-11-25 14:00:00,0.8,772.1,31,从西南偏南方向吹来的风,2
北京,2023-11-25 11:00:00,-1.4,775.1,39,从东北偏东方向吹来的风,2
北京,2023-11-25 08:00:00,-3.7,776.0,47,从东北方吹来的风,2
北京,2023-11-25 05:00:00,-7.3,775.8,60,从东北方吹来的风,1
北京,2023-11-25 02:00:00,-7.0,776.8,56,从东北偏东方向吹来的风,1
北京,2023-11-24 23:00:00,-4.5,777.3,40,从西南方吹来的风,1
北京,2023-11-24 20:00:00,-2.3,777.4,32,从西南方吹来的风,1
北京,2023-11-24 17:00:00,-0.4,776.3,21,从南方吹来的风,2
北京,2023-11-24 14:00:00,1.4,776.7,18,从西南偏西方向吹来的风,2
北京,2023-11-24 11:00:00,-1.4,778.5,21,从东北偏东方向吹来的风,2
北京,2023-11-24 08:00:00,-6.3,778.3,32,从东北方吹来的风,2
北京,2023-11-24 05:00:00,-6.1,776.8,28,从东北偏北方向吹来的风,2
北京,2023-11-24 02:00:00,-4.9,776.4,24,从东北偏北方向吹来的风,3
北京,2023-11-23 23:00:00,-3.8,776.0,24,从北方吹来的风,3
北京,2023-11-23 20:00:00,-1.9,775.3,21,从西北偏北方向吹来的风,4
北京,2023-11-23 17:00:00,-0.1,773.4,19,从西北方吹来的风,4
北京,2023-11-23 14:00:00,1.6,771.4,18,从西北偏北方向吹来的风,5
北京,2023-11-23 11:00:00,1.1,771.9,20,从西北偏北方向吹来的风,6
北京,2023-11-23 08:00:00,-0.2,769.7,25,从西北方吹来的风,5
北京,2023-11-23 05:00:00,0.6,767.9,23,从西北偏西方向吹来的风,5
北京,2023-11-23 02:00:00,5.1,764.7,23,从西北方吹来的风,7
北京,2023-11-22 23:00:00,10.2,761.7,34,从西北方吹来的风,5
北京,2023-11-22 20:00:00,11.4,760.6,28,从北方吹来的风,2
北京,2023-11-22 17:00:00,13.1,759.3,21,从北方吹来的风,3
北京,2023-11-22 14:00:00,15.7,758.0,19,从西北偏北方向吹来的风,4
北京,2023-11-22 11:00:00,13.8,759.4,40,从西方吹来的风,1
北京,2023-11-22 08:00:00,4.1,760.0,95,从西南偏南方向吹来的风,1
北京,2023-11-22 05:00:00,3.4,758.9,95,从东北偏北方向吹来的风,1
北京,2023-11-22 02:00:00,6.9,759.9,85,从西北偏西方向吹来的风,1
北京,2023-11-21 23:00:00,5.4,760.5,89,从西北偏北方向吹来的风,1
北京,2023-11-21 20:00:00,4.6,760.7,86,无风,0
北京,2023-11-21 17:00:00,10.1,759.7,63,从东方吹来的风,1
北京,2023-11-21 14:00:00,12.2,759.8,50,从东方吹来的风,3
北京,2023-11-21 11:00:00,9.2,762.1,61,从东北偏北方向吹来的风,3
北京,2023-11-21 08:00:00,3.2,762.4,78,从东北方吹来的风,1
北京,2023-11-21 05:00:00,0.5,761.9,87,从东北偏东方向吹来的风,1
北京,2023-11-21 02:00:00,1.0,762.6,81,从东方吹来的风,0
北京,2023-11-20 23:00:00,2.7,763.0,73,从东北方吹来的风,1
北京,2023-11-20 20:00:00,5.8,763.7,59,从西南偏南方向吹来的风,1
北京,2023-11-20 17:00:00,11.0,763.4,42,从西南偏南方向吹来的风,0
北京,2023-11-20 14:00:00,14.0,763.8,31,从西南方吹来的风,2
北京,2023-11-20 11:00:00,11.0,766.0,39,从西南方吹来的风,1
北京,2023-11-20 08:00:00,0.5,766.9,77,从东北偏北方向吹来的风,1
北京,2023-11-20 05:00:00,-0.1,766.4,73,从东北偏东方向吹来的风,1
北京,2023-11-20 02:00:00,2.5,766.6,59,从西南偏西方向吹来的风,1
北京,2023-11-19 23:00:00,3.2,766.6,55,从西南偏西方向吹来的风,1
北京,2023-11-19 20:00:00,5.1,766.5,50,从北方吹来的风,0
北京,2023-11-19 17:00:00,12.2,765.5,27,从南方吹来的风,1
北京,2023-11-19 14:00:00,16.1,765.1,16,从东北方吹来的风,3
北京,2023-11-19 11:00:00,13.3,766.1,20,从东北偏北方向吹来的风,4
北京,2023-11-19 08:00:00,3.1,765.6,51,从东北方吹来的风,1
北京,2023-11-19 05:00:00,-0.5,763.5,72,从东方吹来的风,0
北京,2023-11-19 02:00:00,-0.9,762.6,70,从东方吹来的风,1
北京,2023-11-18 23:00:00,0.0,762.7,69,从西南偏西方向吹来的风,0
北京,2023-11-18 20:00:00,2.6,763.2,56,从西方吹来的风,1
北京,2023-11-18 17:00:00,8.6,763.2,31,从西方吹来的风,1
北京,2023-11-18 14:00:00,11.0,764.4,21,从西南方吹来的风,3
